Player,Team,Jumper,Position,Height,DOB,Age,Matches
Joseph Fonti,GWS Giants,37,Defender,189.0,2004-12-24,21.0,0
Phoenix Gothard,GWS Giants,11,Forward,179.0,2005-09-07,20.0,0
Tom Green,GWS Giants,12,Midfield,192.0,2001-01-23,25.0,0
Toby Greene,GWS Giants,4,MidfieldForward,182.0,1993-09-25,32.0,0
Max Gruzewski,GWS Giants,35,Forward,192.0,2004-07-21,21.0,0
Riley Hamilton,GWS Giants,43,MidfieldForward,189.0,2006-08-15,19.0,0
Oliver Hannaford,GWS Giants,13,MidfieldForward,180.0,2006-09-01,19.0,0
Harrison Himmelberg,GWS Giants,27,Defender,195.0,1996-05-08,29.0,0
Jesse Hogan,GWS Giants,23,Forward,196.0,1995-02-12,31.0,0
Connor Idun,GWS Giants,39,Defender,193.0,2000-07-29,25.0,0
Darcy Jones,GWS Giants,2,Forward,175.0,2004-04-03,22.0,0
Joshua Kelly,GWS Giants,22,Midfield,184.0,1995-02-12,31.0,0
Jayden Laverde,GWS Giants,25,Defender,193.0,1996-04-12,30.0,0
James Leake,GWS Giants,30,DefenderForward,188.0,2005-10-02,20.0,0
Nick Madden,GWS Giants,41,Ruck,204.0,2004-05-17,21.0,0
Toby McMullin,GWS Giants,31,Midfield,183.0,2004-08-06,21.0,0
Xavier O'Halloran,GWS Giants,33,MidfieldForward,187.0,2000-07-11,25.0,0
Clayton Oliver,GWS Giants,10,Midfield,189.0,1997-07-22,28.0,0
Harrison Oliver,GWS Giants,19,Defender,181.0,2006-06-15,19.0,0
Jack Ough,GWS Giants,28,Midfield,194.0,2006-12-15,19.0,0
Jake Riccardi,GWS Giants,26,ForwardRuck,198.0,1999-11-07,26.0,0
Harry Rowston,GWS Giants,24,Midfield,182.0,2004-08-12,21.0,0
Logan Smith,GWS Giants,36,Ruck,204.0,2006-09-24,19.0,0
Conor Stone,GWS Giants,18,Defender,189.0,2002-04-22,24.0,0
Jake Stringer,GWS Giants,20,Forward,192.0,1994-04-25,32.0,0
Oskar Taylor,GWS Giants,34,Defender,182.0,2007-08-01,18.0,0
Sam Taylor,GWS Giants,15,Defender,198.0,1999-05-05,26.0,0
Harvey Thomas,GWS Giants,1,MidfieldForward,176.0,2005-08-08,20.0,0
Nathan Wardius,GWS Giants,42,Forward,181.0,2004-10-12,21.0,0
Lachie Whitfield,GWS Giants,6,Defender,185.0,1994-07-18,31.0,0
Karl Amon,Hawthorn,10,Defender,181.0,1995-08-19,30.0,0
Cody Anderson,Hawthorn,32,Midfield,183.0,2006-01-30,20.0,0
Tom Barrass,Hawthorn,37,Defender,197.0,1995-10-08,30.0,0
Josh Battle,Hawthorn,24,Defender,193.0,1998-09-01,27.0,0
James Blanck,Hawthorn,36,Defender,196.0,2000-11-20,25.0,0
Sam Butler,Hawthorn,30,MidfieldForward,184.0,2003-02-10,23.0,0
Mabior Chol,Hawthorn,18,Forward,200.0,1997-01-29,29.0,0
Massimo D'Ambrosio,Hawthorn,16,Midfield,178.0,2003-06-05,22.0,0
Jack Dalton,Hawthorn,34,Midfield,178.0,2007-04-05,19.0,0
Will Day,Hawthorn,12,Midfield,191.0,2001-06-05,24.0,0
Calsher Dear,Hawthorn,13,Forward,195.0,2005-08-04,20.0,0
Jack Ginnivan,Hawthorn,33,Forward,185.0,2002-12-09,23.0,0
Ollie Greeves,Hawthorn,35,Midfield,192.0,2007-02-07,19.0,0
Jack Gunston,Hawthorn,19,Forward,193.0,1991-10-16,34.0,0
Blake Hardwick,Hawthorn,15,Defender,183.0,1997-02-05,29.0,0
Matt Hill,Hawthorn,41,Defender,187.0,2004-01-01,22.0,0
Henry Hustwaite,Hawthorn,44,Midfield,195.0,2004-07-20,21.0,0
Jarman Impey,Hawthorn,4,Defender,178.0,1995-07-09,30.0,0
Matthew LeRay,Hawthorn,31,Midfield,188.0,2007-02-22,19.0,0
Mitchell Lewis,Hawthorn,2,Forward,199.0,1998-10-14,27.0,0
Connor MacDonald,Hawthorn,9,Forward,185.0,2003-01-13,23.0,0
Bailey Macdonald,Hawthorn,42,Defender,182.0,2004-08-04,21.0,0
Cameron Mackenzie,Hawthorn,28,Midfield,188.0,2004-01-21,22.0,0
Finn Maginness,Hawthorn,20,Forward,189.0,2001-02-23,25.0,0
William McCabe,Hawthorn,27,Defender,197.0,2005-09-29,20.0,0
Lloyd Meek,Hawthorn,17,Ruck,203.0,1998-04-22,28.0,0
Dylan Moore,Hawthorn,8,Forward,177.0,1999-08-04,26.0,0
Harry Morrison,Hawthorn,1,Midfield,184.0,1998-11-12,27.0,0
Noah Mraz,Hawthorn,21,Defender,198.0,2006-02-20,20.0,0
Cameron Nairn,Hawthorn,22,MidfieldForward,188.0,2007-10-15,18.0,0
Conor Nash,Hawthorn,11,Midfield,198.0,1998-07-28,27.0,0
Jai Newcombe,Hawthorn,3,Midfield,187.0,2001-08-02,24.0,0
Flynn Perez,Hawthorn,39,Defender,188.0,2001-08-25,24.0,0
Max Ramsden,Hawthorn,38,Forward,203.0,2003-04-19,23.0,0
Ned Reeves,Hawthorn,7,Ruck,210.0,1998-10-31,27.0,0
Bodie Ryan,Hawthorn,26,Defender,187.0,2005-04-20,21.0,0
Aidan Schubert,Hawthorn,29,ForwardRuck,198.0,2007-12-21,18.0,0
Jack Scrimshaw,Hawthorn,14,Defender,194.0,1998-09-04,27.0,0
James Sicily,Hawthorn,6,Defender,188.0,1995-01-06,31.0,0
Jaime Uhr-Henry,Hawthorn,43,Ruck,209.0,2003-03-12,23.0,0
Josh Ward,Hawthorn,25,Midfield,183.0,2003-08-15,22.0,0
Nick Watson,Hawthorn,5,Forward,170.0,2005-02-24,21.0,0
Joshua Weddle,Hawthorn,23,DefenderMidfield,191.0,2004-05-25,21.0,0
Jed Adams,Melbourne,26,Defender,196.0,2004-05-14,21.0,0
Oscar Berry,Melbourne,38,Defender,196.0,,,0
Jake Bowey,Melbourne,17,Defender,175.0,2002-09-12,23.0,0
Tom Campbell,Melbourne,29,Ruck,201.0,1991-11-02,34.0,0
Kade Chandler,Melbourne,37,Forward,175.0,2000-01-13,26.0,0
Paddy Cross,Melbourne,41,Forward,181.0,2003-02-14,23.0,0
Jai Culley,Melbourne,13,Midfield,194.0,2003-02-24,23.0,0
Bayley Fritsch,Melbourne,31,Forward,188.0,1996-12-06,29.0,0
Max Gawn,Melbourne,11,Ruck,209.0,1991-12-30,34.0,0
Max Heath,Melbourne,27,ForwardRuck,204.0,2002-10-24,23.0,0
Jack Henderson,Melbourne,43,Forward,176.0,1999-10-01,26.0,0
Blake Howes,Melbourne,22,Defender,191.0,2003-04-07,23.0,0
Matthew Jefferson,Melbourne,21,Forward,195.0,2004-03-08,22.0,0
Changkuoth Jiath,Melbourne,14,Defender,185.0,1999-06-13,26.0,0
Aidan Johnson,Melbourne,42,Forward,193.0,2000-03-09,26.0,0
Luker Kentfield,Melbourne,44,Forward,194.0,2005-09-10,20.0,0
Ed Langdon,Melbourne,15,MidfieldForward,182.0,1996-02-01,30.0,0
Harvey Langford,Melbourne,4,Midfield,191.0,2006-03-15,20.0,0
Bailey Laurie,Melbourne,16,Forward,179.0,2002-03-24,24.0,0
Jake Lever,Melbourne,8,Defender,194.0,1996-03-05,30.0,0
Xavier Lindsay,Melbourne,5,DefenderMidfield,183.0,2006-08-03,19.0,0
Thomas Matthews,Melbourne,20,Forward,171.0,2007-02-28,19.0,0
Steven May,Melbourne,1,Defender,193.0,1992-01-10,34.0,0
Shane McAdam,Melbourne,23,Forward,186.0,1995-05-28,30.0,0
Tom McDonald,Melbourne,25,Defender,195.0,1992-09-18,33.0,0
Jake Melksham,Melbourne,18,Forward,186.0,1991-08-29,34.0,0
Ricky Mentha,Melbourne,39,DefenderForward,178.0,2006-09-04,19.0,0
Brody Mihocek,Melbourne,28,Forward,192.0,1993-02-04,33.0,0
Andy Moniz-Wakefield,Melbourne,45,Defender,182.0,2003-10-26,22.0,0
Riley Onley,Melbourne,40,Midfield,,2000-01-01,26.0,0
Harrison Petty,Melbourne,35,DefenderForward,197.0,1999-11-12,26.0,0
Kysaiah Pickett,Melbourne,36,MidfieldForward,171.0,2001-06-02,24.0,0
Latrelle Pickett,Melbourne,33,Forward,182.0,2005-12-28,20.0,0
Trent Rivers,Melbourne,24,Defender,188.0,2001-07-30,24.0,0
Christian Salem,Melbourne,3,Defender,184.0,1995-07-15,30.0,0
Harry Sharp,Melbourne,30,Forward,182.0,2002-12-17,23.0,0
Tom Sparrow,Melbourne,32,MidfieldForward,183.0,2000-05-31,25.0,0
Jack Steele,Melbourne,9,Midfield,187.0,1995-12-13,30.0,0
Xavier Taylor,Melbourne,19,Defender,192.0,2007-01-30,19.0,0
Koltyn Tholstrup,Melbourne,12,DefenderForward,186.0,2005-06-28,20.0,0
Daniel Turner,Melbourne,10,Defender,194.0,2002-01-28,24.0,0
Jacob Van Rooyen,Melbourne,2,Forward,193.0,2003-04-16,23.0,0
Jack Viney,Melbourne,7,Midfield,179.0,1994-04-13,32.0,0
Kalani White,Melbourne,34,ForwardRuck,201.0,2007-05-05,18.0,0
Caleb Windsor,Melbourne,6,DefenderMidfield,185.0,2005-06-09,20.0,0
Jackson Archer,North Melbourne,34,Defender,187.0,2003-01-09,23.0,0
Zac Banch,North Melbourne,45,Forward,175.0,2003-07-21,22.0,0
Tom Blamires,North Melbourne,39,DefenderMidfield,181.0,2002-08-13,23.0,0
Callum Coleman-Jones,North Melbourne,21,Ruck,200.0,1999-06-13,26.0,0
Charlie Comben,North Melbourne,30,Defender,199.0,2001-07-20,24.0,0
Aidan Corr,North Melbourne,4,Defender,195.0,1994-05-17,31.0,0
Paul Curtis,North Melbourne,25,Forward,185.0,2003-03-04,23.0,0
Caleb Daniel,North Melbourne,5,Defender,171.0,1996-07-07,29.0,0
Jack Darling,North Melbourne,27,Forward,191.0,1992-06-13,33.0,0
Luke Davies-Uniacke,North Melbourne,9,Midfield,188.0,1999-06-08,26.0,0
Wil Dawson,North Melbourne,18,Defender,200.0,2005-12-20,20.0,0
Lachy Dovaston,North Melbourne,1,Forward,178.0,2007-05-29,18.0,0
Zane Duursma,North Melbourne,7,DefenderForward,190.0,2005-08-28,20.0,0
Zac Fisher,North Melbourne,16,Forward,175.0,1998-06-15,27.0,0
Brayden George,North Melbourne,33,Forward,187.0,2004-01-13,22.0,0
Taylor Goad,North Melbourne,22,Ruck,207.0,2005-04-28,21.0,0
Josh Goater,North Melbourne,31,Defender,190.0,2003-06-02,22.0,0
Robert Hansen,North Melbourne,46,MidfieldForward,182.0,2004-03-13,22.0,0
Riley Hardeman,North Melbourne,17,Defender,184.0,2005-02-27,21.0,0
Cooper Harvey,North Melbourne,37,Forward,180.0,2004-07-12,21.0,0
Jacob Konstanty,North Melbourne,41,Forward,177.0,2004-11-09,21.0,0
Nick Larkey,North Melbourne,20,Forward,198.0,1998-06-06,27.0,0
Griffin Logue,North Melbourne,19,Defender,193.0,1998-04-13,28.0,0
Luke McDonald,North Melbourne,11,Defender,189.0,1995-02-09,31.0,0
Colby McKercher,North Melbourne,10,Defender,182.0,2005-04-12,21.0,0
Hugo Mikunda,North Melbourne,28,MidfieldForward,180.0,2007-03-13,19.0,0
Finn O'Sullivan,North Melbourne,2,DefenderMidfield,182.0,2006-05-30,19.0,0
Luke Parker,North Melbourne,26,DefenderMidfield,183.0,1992-10-25,33.0,0
Toby Pink,North Melbourne,32,Defender,194.0,1998-08-11,27.0,0
Tom Powell,North Melbourne,24,MidfieldForward,184.0,2002-03-02,24.0,0
Bailey Scott,North Melbourne,8,Midfield,186.0,2000-07-09,25.0,0
Harry Sheezel,North Melbourne,3,MidfieldForward,185.0,2004-10-13,21.0,0
Jy Simpkin,North Melbourne,12,MidfieldForward,183.0,1998-03-05,28.0,0
Charlie Spargo,North Melbourne,13,Forward,172.0,1999-11-25,26.0,0
Dylan Stephens,North Melbourne,15,Midfield,184.0,2001-01-08,25.0,0
River Stevens,North Melbourne,36,MidfieldForward,176.0,2006-06-26,19.0,0
Blake Thredgold,North Melbourne,23,Defender,195.0,2007-08-27,18.0,0
Cooper Trembath,North Melbourne,47,Forward,193.0,2005-10-17,20.0,0
Luke Urquhart,North Melbourne,14,Midfield,184.0,2006-09-19,19.0,0
George Wardlaw,North Melbourne,6,Midfield,182.0,2004-06-11,21.0,0
Matt Whitlock,North Melbourne,35,DefenderForward,198.0,2006-05-16,19.0,0
Tristan Xerri,North Melbourne,38,Ruck,202.0,1999-03-15,27.0,0
Cameron Zurhaar,North Melbourne,44,Forward,190.0,1998-05-22,27.0,0
Aliir Aliir,Port Adelaide,21,Defender,194.0,1994-09-05,31.0,0
Tom Anastasopoulos,Port Adelaide,29,Forward,176.0,2005-05-31,20.0,0
Benny Barrett,Port Adelaide,40,Midfield,172.0,2006-05-01,20.0,0
Miles Bergman,Port Adelaide,14,Defender,189.0,2001-10-18,24.0,0
Joe Berry,Port Adelaide,5,Forward,181.0,2006-04-18,20.0,0
Will Brodie,Port Adelaide,23,Midfield,190.0,1998-08-23,27.0,0
Jase Burgoyne,Port Adelaide,7,DefenderMidfield,186.0,2003-07-15,22.0,0
Zak Butters,Port Adelaide,9,Midfield,181.0,2000-09-08,25.0,0
Darcy Byrne-Jones,Port Adelaide,33,DefenderForward,181.0,1995-09-20,30.0,0
Tom Cochrane,Port Adelaide,26,Forward,182.0,2006-01-27,20.0,0
Willem Drew,Port Adelaide,28,Midfield,188.0,1998-10-01,27.0,0
Corey Durdin,Port Adelaide,44,Forward,173.0,2002-04-14,24.0,0
Logan Evans,Port Adelaide,22,Defender,189.0,2005-10-07,20.0,0
Kane Farrell,Port Adelaide,6,Defender,182.0,1999-03-17,27.0,0
Mitch Georgiades,Port Adelaide,19,Forward,192.0,2001-09-28,24.0,0
Jason Horne-Francis,Port Adelaide,18,MidfieldForward,185.0,2003-06-21,22.0,0
Lachlan Jones,Port Adelaide,34,Defender,186.0,2002-04-09,24.0,0
Josh Lai,Port Adelaide,43,DefenderMidfield,185.0,2005-10-01,20.0,0
Mani Liddy,Port Adelaide,50,Midfield,181.0,2002-02-20,24.0,0
Ollie Lord,Port Adelaide,30,Forward,197.0,2002-01-02,24.0,0
Will Lorenz,Port Adelaide,36,Midfield,186.0,2005-02-19,21.0,0
Jack Lukosius,Port Adelaide,12,Forward,195.0,2000-08-09,25.0,0
Ewan Mackinlay,Port Adelaide,31,Midfield,182.0,2003-07-18,22.0,0
Todd Marshall,Port Adelaide,4,DefenderForward,198.0,1998-10-08,27.0,0
Jackson Mead,Port Adelaide,3,Midfield,184.0,2001-09-30,24.0,0
Christian Moraes,Port Adelaide,11,Midfield,183.0,2006-11-08,19.0,0
Jacob Moss,Port Adelaide,42,Defender,198.0,2004-12-22,21.0,0
Balyn O'Brien,Port Adelaide,41,Defender,187.0,2007-01-26,19.0,0
Sam Powell-Pepper,Port Adelaide,2,Forward,187.0,1998-01-08,28.0,0
Harrison Ramm,Port Adelaide,32,Defender,202.0,2006-12-05,19.0,0
Esava Ratugolea,Port Adelaide,27,Defender,197.0,1998-07-24,27.0,0
Joe Richards,Port Adelaide,35,Forward,177.0,1999-11-23,26.0,0
Connor Rozee,Port Adelaide,1,DefenderMidfield,185.0,2000-01-22,26.0,0
Josh Sinn,Port Adelaide,8,Defender,187.0,2003-01-07,23.0,0
Ivan Soldo,Port Adelaide,13,ForwardRuck,204.0,1996-04-14,30.0,0
Jordon Sweet,Port Adelaide,24,Ruck,206.0,1998-02-02,28.0,0
Dante Visentini,Port Adelaide,38,Ruck,202.0,2003-02-13,23.0,0
Xavier Walsh,Port Adelaide,45,Forward,195.0,2005-09-06,20.0,0
Jack Watkins,Port Adelaide,37,MidfieldForward,,2000-01-01,26.0,0
Jacob Wehr,Port Adelaide,15,DefenderMidfield,185.0,1998-07-05,27.0,0
Jack Whitlock,Port Adelaide,17,Forward,200.0,2006-05-16,19.0,0
Oliver Wines,Port Adelaide,16,Midfield,187.0,1994-10-07,31.0,0
Mitch Zadow,Port Adelaide,39,Forward,180.0,2004-03-11,22.0,0
Brandon Zerk-Thatcher,Port Adelaide,25,Defender,195.0,1998-08-25,27.0,0
Jasper Alger,Richmond,29,Forward,183.0,2006-12-17,19.0,0
Harry Armstrong,Richmond,34,Forward,195.0,2006-06-14,19.0,0
Noah Balta,Richmond,21,DefenderForward,194.0,1999-10-23,26.0,0
Sam Banks,Richmond,6,DefenderMidfield,187.0,2003-04-02,23.0,0
Nathan Broad,Richmond,35,Defender,192.0,1993-04-15,33.0,0
Tom Brown,Richmond,30,Defender,193.0,2003-07-30,22.0,0
Thomas Burton,Richmond,45,Midfield,178.0,2007-01-09,19.0,0
Seth Campbell,Richmond,44,Forward,182.0,2004-12-29,21.0,0
Judson Clarke,Richmond,23,Forward,180.0,2003-10-17,22.0,0
Sam Cumming,Richmond,22,Midfield,184.0,2007-07-27,18.0,0
Jonty Faull,Richmond,8,Forward,195.0,2006-02-01,20.0,0
Liam Fawcett,Richmond,43,Forward,197.0,2005-04-22,21.0,0
Josh Gibcus,Richmond,18,Defender,196.0,2003-04-04,23.0,0
Campbell Gray,Richmond,50,DefenderRuck,195.0,2003-08-01,22.0,0
Steely Green,Richmond,48,Forward,179.0,2004-01-09,22.0,0
Samuel Grlj,Richmond,24,DefenderMidfield,182.0,2007-07-26,18.0,0
Oliver Hayes-Brown,Richmond,47,Ruck,208.0,2000-04-28,26.0,0
Jacob Hopper,Richmond,2,Midfield,187.0,1997-02-06,29.0,0
Taj Hotton,Richmond,10,Forward,182.0,2006-06-17,19.0,0
Sam Lalor,Richmond,4,MidfieldForward,188.0,2006-08-30,19.0,0
Mykelti Lefau,Richmond,42,Forward,195.0,1998-06-22,27.0,0
Tom Lynch,Richmond,19,Forward,199.0,1992-10-31,33.0,0
Rhyan Mansell,Richmond,7,Forward,180.0,2000-06-04,25.0,0
Kane McAuliffe,Richmond,28,Midfield,187.0,2005-03-01,21.0,0
Ben Miller,Richmond,12,Defender,198.0,1999-08-31,26.0,0
Toby Nankervis,Richmond,25,Ruck,199.0,1994-08-12,31.0,0
Zane Peucker,Richmond,26,MidfieldForward,180.0,2007-12-04,18.0,0
Dion Prestia,Richmond,3,MidfieldForward,175.0,1992-10-12,33.0,0
Hugo Ralphsmith,Richmond,13,Midfield,187.0,2001-11-09,24.0,0
Patrick Retschko,Richmond,33,Midfield,186.0,2006-02-28,20.0,0
Maurice Rioli,Richmond,17,Forward,179.0,2002-09-01,23.0,0
Noah Roberts-Thomson,Richmond,27,Midfield,181.0,2007-03-29,19.0,0
Jack Ross,Richmond,5,MidfieldForward,187.0,2000-09-03,25.0,0
Samson Ryan,Richmond,32,Ruck,206.0,2000-12-09,25.0,0
Jayden Short,Richmond,15,Defender,178.0,1996-01-24,30.0,0
Thomas Sims,Richmond,38,Forward,199.0,2006-05-12,19.0,0
Josh Smillie,Richmond,16,Midfield,195.0,2006-05-17,19.0,0
Kaleb Smith,Richmond,49,Defender,181.0,2004-11-20,21.0,0
Tyler Sonsie,Richmond,40,MidfieldForward,181.0,2003-01-27,23.0,0
Tim Taranto,Richmond,14,Midfield,188.0,1998-01-28,28.0,0
Luke Trainor,Richmond,11,Defender,193.0,2006-04-10,20.0,0
James Trezise,Richmond,36,Midfield,188.0,2002-06-15,23.0,0
Nick Vlastuin,Richmond,1,Defender,187.0,1994-04-19,32.0,0
Eamonn Armstrong,St Kilda,46,Defender,191.0,2006-07-26,19.0,0
Charlie Banfield,St Kilda,36,MidfieldForward,192.0,2007-07-18,18.0,0
James Barrat,St Kilda,28,DefenderForward,194.0,2006-11-23,19.0,0
Hugh Boxshall,St Kilda,38,Midfield,188.0,2006-07-11,19.0,0
Daniel Butler,St Kilda,16,Forward,182.0,1996-06-03,29.0,0
Ryan Byrnes,St Kilda,13,Defender,181.0,2001-05-03,25.0,0
Anthony Caminiti,St Kilda,47,Defender,196.0,2003-12-09,22.0,0
Jack Carroll,St Kilda,18,DefenderMidfield,188.0,2002-12-20,23.0,0
Hunter Clark,St Kilda,11,Midfield,186.0,1999-03-26,27.0,0
Lance Collard,St Kilda,4,Forward,185.0,2005-03-26,21.0,0
Tom De Koning,St Kilda,21,Ruck,201.0,1999-07-16,26.0,0
Alex Dodson,St Kilda,30,Forward,203.0,2006-06-15,19.0,0
Paddy Dow,St Kilda,15,Midfield,184.0,1999-10-16,26.0,0
Kye Fincher,St Kilda,37,DefenderMidfield,186.0,2007-11-18,18.0,0
Sam Flanders,St Kilda,9,MidfieldForward,183.0,2001-07-24,24.0,0
Hugo Garcia,St Kilda,34,Midfield,185.0,2005-05-22,20.0,0
Max Hall,St Kilda,40,Forward,183.0,2002-04-15,24.0,0
Angus Hastie,St Kilda,24,Defender,190.0,2005-09-19,20.0,0
Liam Henry,St Kilda,23,Forward,180.0,2001-08-28,24.0,0
Jack Higgins,St Kilda,1,Forward,178.0,1999-03-19,27.0,0
Bradley Hill,St Kilda,8,MidfieldForward,182.0,1993-07-09,32.0,0
Dougal Howard,St Kilda,20,Defender,199.0,1996-03-25,30.0,0
Isaac Keeler,St Kilda,17,Forward,198.0,2004-04-23,22.0,0
Max King,St Kilda,12,Forward,202.0,2000-07-07,25.0,0
Jackson Macrae,St Kilda,6,Midfield,192.0,1994-08-03,31.0,0
Rowan Marshall,St Kilda,19,ForwardRuck,201.0,1995-11-24,30.0,0
Kobe McDonald,St Kilda,42,Defender,193.0,2007-12-08,18.0,0
Liam O'Connell,St Kilda,45,Defender,189.0,2003-03-04,23.0,0
Mitchito Owens,St Kilda,10,Forward,191.0,2003-09-24,22.0,0
Mattaes Phillipou,St Kilda,25,MidfieldForward,190.0,2004-12-27,21.0,0
Liam Ryan,St Kilda,31,Forward,181.0,1996-10-02,29.0,0
Patrick Said,St Kilda,33,MidfieldForward,180.0,2006-04-24,20.0,0
Cooper Sharman,St Kilda,43,Forward,193.0,2000-07-25,25.0,0
Jack Silvagni,St Kilda,3,Defender,194.0,1997-12-17,28.0,0
Jack Sinclair,St Kilda,35,Defender,181.0,1995-02-12,31.0,0
Liam Stocker,St Kilda,14,Defender,184.0,2000-01-23,26.0,0
Alix Tauru,St Kilda,26,DefenderForward,193.0,2006-11-16,19.0,0
Tobie Travaglia,St Kilda,5,DefenderMidfield,187.0,2006-10-26,19.0,0
Nasiah Wanganeen-Milera,St Kilda,7,DefenderMidfield,187.0,2003-02-22,23.0,0
Callum Wilkie,St Kilda,44,Defender,191.0,1996-03-10,30.0,0
Darcy Wilson,St Kilda,22,MidfieldForward,185.0,2005-08-18,20.0,0
Marcus Windhager,St Kilda,2,DefenderMidfield,185.0,2003-05-16,22.0,0
Mason Wood,St Kilda,32,MidfieldForward,192.0,1993-09-13,32.0,0
Taylor Adams,Sydney,3,Forward,181.0,1993-09-20,32.0,0
Joel Amartey,Sydney,36,Forward,195.0,1999-09-02,26.0,0
Riak Andrew,Sydney,20,Defender,193.0,2005-02-17,21.0,0
Riley Bice,Sydney,26,Defender,185.0,2000-09-26,25.0,0
Nick Blakey,Sydney,22,Defender,196.0,2000-02-27,26.0,0
Ned Bowman,Sydney,23,Forward,186.0,2006-09-12,19.0,0
Braeden Campbell,Sydney,16,Forward,181.0,2002-02-04,24.0,0
Noah Chamberlain,Sydney,42,Forward,191.0,2007-03-21,19.0,0
Caiden Cleary,Sydney,33,Forward,182.0,2005-03-05,21.0,0
Billy Cootee,Sydney,25,Midfield,179.0,2002-12-18,23.0,0
Harry Cunningham,Sydney,7,Defender,181.0,1993-12-06,32.0,0
Charlie Curnow,Sydney,35,Forward,194.0,1997-02-03,29.0,0
Jesse Dattoli,Sydney,9,Forward,179.0,2006-07-07,19.0,0
Will Edwards,Sydney,28,Defender,197.0,2003-05-08,22.0,0
Will Green,Sydney,45,Ruck,204.0,2005-09-08,20.0,0
Brodie Grundy,Sydney,4,Ruck,202.0,1994-04-15,32.0,0
Errol Gulden,Sydney,21,Midfield,175.0,2002-07-18,23.0,0
Joel Hamling,Sydney,29,Defender,194.0,1993-04-09,33.0,0
Tom Hanily,Sydney,40,Forward,179.0,2005-05-31,20.0,0
Isaac Heeney,Sydney,5,Midfield,185.0,1996-05-05,29.0,0
Liam Hetherton,Sydney,39,Forward,198.0,2007-05-02,19.0,0
James Jordon,Sydney,17,MidfieldForward,187.0,2000-12-20,25.0,0
Max King,Sydney,31,Forward,192.0,2007-01-09,19.0,0
Harry Kyle,Sydney,32,DefenderMidfield,188.0,2007-07-16,18.0,0
Peter Ladhams,Sydney,19,ForwardRuck,204.0,1998-01-14,28.0,0
Jake Lloyd,Sydney,44,MidfieldForward,182.0,1993-09-20,32.0,0
Tom McCartin,Sydney,30,Defender,194.0,1999-12-30,26.0,0
Logan McDonald,Sydney,6,Forward,195.0,2002-04-04,24.0,0
Justin McInerney,Sydney,27,MidfieldForward,189.0,2000-08-18,25.0,0
Hayden McLean,Sydney,2,Forward,197.0,1999-01-20,27.0,0
Lewis Melican,Sydney,43,Defender,194.0,1996-11-04,29.0,0
Callum Mills,Sydney,14,Defender,188.0,1997-04-02,29.0,0
Tom Papley,Sydney,11,Forward,177.0,1996-07-13,29.0,0
Jevan Phillipou,Sydney,18,Midfield,183.0,2007-03-30,19.0,0
Dane Rampe,Sydney,24,Defender,187.0,1990-06-02,35.0,0
Matthew Roberts,Sydney,34,DefenderMidfield,184.0,2003-07-31,22.0,0
Malcolm Rosas,Sydney,10,Forward,180.0,2001-06-27,24.0,0
James Rowbottom,Sydney,8,Midfield,186.0,2000-09-19,25.0,0
Jai Serong,Sydney,13,DefenderMidfield,193.0,2003-02-16,23.0,0
Angus Sheldrick,Sydney,12,Midfield,178.0,2003-11-07,22.0,0
Patrick Snell,Sydney,41,DefenderForward,194.0,2005-07-18,20.0,0
Chad Warner,Sydney,1,MidfieldForward,185.0,2001-05-19,24.0,0
Corey Warner,Sydney,37,MidfieldForward,182.0,2003-10-07,22.0,0
Sam Wicks,Sydney,15,Defender,181.0,1999-09-14,26.0,0
Bo Allan,West Coast,26,DefenderMidfield,191.0,2006-02-16,20.0,0
Sam Allen,West Coast,12,MidfieldForward,184.0,2007-01-13,19.0,0
Liam Baker,West Coast,3,Defender,173.0,1998-01-27,28.0,0
Harry Barnett,West Coast,30,Ruck,203.0,2004-01-22,22.0,0
Rhett Bazzo,West Coast,33,Defender,195.0,2003-10-17,22.0,0
Sandy Brock,West Coast,41,Defender,198.0,2002-12-14,23.0,0
Tyler Brockman,West Coast,10,Forward,180.0,2002-11-22,23.0,0
Malakai Champion,West Coast,37,Forward,172.0,2006-05-17,19.0,0
Tom Cole,West Coast,28,Defender,188.0,1997-05-28,28.0,0
Jamie Cripps,West Coast,15,Forward,184.0,1992-04-23,34.0,0
Hamish Davis,West Coast,38,Midfield,190.0,2006-05-02,20.0,0
Tyrell Dewar,West Coast,43,DefenderMidfield,185.0,2004-03-27,22.0,0
Cooper Duff-Tytler,West Coast,21,ForwardRuck,201.0,2007-08-22,18.0,0
Liam Duggan,West Coast,14,Defender,186.0,1996-12-11,29.0,0
Willem Duursma,West Coast,1,Midfield,193.0,2007-06-21,18.0,0
Harry Edwards,West Coast,42,Defender,200.0,2000-10-01,25.0,0
Matthew Flynn,West Coast,25,Ruck,202.0,1997-09-13,28.0,0
Reuben Ginbey,West Coast,7,Defender,191.0,2004-09-10,21.0,0
Jack Graham,West Coast,17,MidfieldForward,181.0,1998-02-25,28.0,0
Lucca Grego,West Coast,31,Defender,184.0,2006-08-15,19.0,0
Tom Gross,West Coast,27,MidfieldForward,181.0,2006-09-15,19.0,0
Clay Hall,West Coast,29,Midfield,190.0,2005-05-12,20.0,0
Elijah Hewett,West Coast,8,Midfield,186.0,2004-05-27,21.0,0
Brady Hough,West Coast,19,DefenderMidfield,191.0,2003-03-05,23.0,0
