Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Archer Day-Wicks,Essendon,44,20,20.63,186,Gen. Forward,2025,5,1,0,,0,,3.46,27,8.6,2.8,0.2,3.46,27,8.6,2.8,0.2
Archer May,Essendon,26,22,22.34,198,Key Forward,2025,7,7,0,,0,,7.171,55.571,8.857,4.429,1,7.171,55.571,8.857,4.429,1
Archie Perkins,Essendon,16,24,24.76,188,Gen. Forward,2021,101,65,1,0,0,,7.17,57.653,13.653,4.822,0.644,7.265,53,13.65,4.9,0.8
Archie Roberts,Essendon,21,21,21.11,184,Gen. Defender,2024,27,3,0,,0,,7.874,82.889,24.074,5.815,0.111,8.045,85.5,25.2,5.6,0.05
Ben McKay,Essendon,32,29,29.01,202,Key Defender,2017,104,1,0,,0,,8.342,59.067,10.615,4.25,0.01,8.61,58.75,11.75,5.25,0
Brayden Fiorini,Essendon,8,29,29.35,187,Midfielder,2016,123,41,2,1,0,,7.944,77.407,20.585,6.398,0.333,10.565,88.85,20.4,6,0.45
Cillian Bourke,Essendon,39,20,20.56,190,Gen. Defender,,0,,,,0,,,,,,,,,,,
Darcy Parish,Essendon,3,29,29.43,180,Midfielder,2016,165,55,3,1,0,,11.422,91.909,24.479,10.43,0.333,10.595,93.85,26.5,10.8,0.15
Dyson Sharp,Essendon,15,19,19.6,187,Midfielder,,0,,,,0,,,,,,,,,,,
Elijah Tsatas,Essendon,5,22,22.2,187,Midfielder,2023,16,3,0,,0,,6.35,47.125,13.75,5.375,0.188,6.35,47.125,13.75,5.375,0.188
Harrison Jones,Essendon,23,25,25.84,196,Mid-Forward,2021,59,55,0,,0,,6.141,51.61,9.102,3.746,0.932,6.225,54.7,11.05,4.05,0.6
Hussien El Achkar,Essendon,33,19,19.74,171,Gen. Forward,,0,,,,0,,,,,,,,,,,
Isaac Kako,Essendon,10,20,20.81,176,Gen. Forward,2025,23,15,0,,0,,8.687,55.174,11.174,4.826,0.652,8.64,55.55,11.2,4.95,0.6
Jacob Farrow,Essendon,2,19,19.27,189,Gen. Defender,,0,,,,0,,,,,,,,,,,
Jade Gresham,Essendon,11,29,29.35,177,Gen. Forward,2016,177,165,1,0,0,,9.666,70.52,17.192,7.006,0.932,7.41,54.8,13.1,4.9,0.55
Jaxon Prior,Essendon,25,25,25.57,189,Gen. Defender,2021,62,11,2,0,0,,5.248,52.919,11.935,3.323,0.177,7.015,70.2,15.75,3.45,0
Jayden Nguyen,Essendon,42,20,20.43,177,Gen. Defender,2025,5,0,0,,0,,2.34,39.2,7.6,3.8,0,2.34,39.2,7.6,3.8,0
Jordan Ridley,Essendon,14,28,28.19,195,Gen. Defender,2018,104,2,1,0,0,,9.803,92.673,19.135,4.24,0.019,10.26,91.75,19.7,4.05,0.05
Jye Caldwell,Essendon,6,26,26.25,183,Midfielder,2019,89,31,1,0,0,,9.716,83.225,19.742,8.494,0.348,12.22,99.6,25.6,11.25,0.45
Kayle Gerreyn,Essendon,19,20,20.64,200,Key Forward,,0,,,,0,,,,,,,,,,,
Kyle Langford,Essendon,4,30,30.08,192,Key Forward,2015,162,179,1,0,0,,9.13,72.451,15.284,5.543,1.105,9.195,66.1,12.75,4.65,1.15
Lachlan Blakiston,Essendon,46,28,28.3,203,Key Defender,2025,11,1,0,,0,,8.2,53.909,9.909,5.364,0.091,8.2,53.909,9.909,5.364,0.091
Lewis Hayes,Essendon,18,22,22.03,199,Gen. Defender,2025,1,0,0,,0,,5,64,16,2,0,5,64,16,2,0
Liam McMahon,Essendon,48,24,24.66,198,Key Forward,2025,7,12,0,,0,,5.886,42.143,6.571,3.714,1.714,5.886,42.143,6.571,3.714,1.714
Mason Redman,Essendon,27,29,29.34,187,Gen. Defender,2016,143,24,2,0,0,,9.428,82.028,19.231,4.35,0.168,10.545,94.95,22.85,3.95,0.2
Matt Guelfi,Essendon,35,29,29.38,184,Gen. Forward,2018,121,69,1,0,0,,6.568,57.479,12.372,5.24,0.57,6.725,55.7,10.5,4.65,0.8
Max Kondogiannis,Essendon,29,19,19.12,190,Gen. Defender,,0,,,,0,,,,,,,,,,,
Nate Caddy,Essendon,30,21,21.46,193,Key Forward,2024,27,29,0,,0,,5.581,52.519,10.926,4.852,1.074,5.81,53.65,11.15,5.1,1.15
Nic Martin,Essendon,37,25,25.74,192,Mid-Forward,2022,83,62,0,,0,,11.34,92.422,23.651,5.952,0.747,13.15,101.5,25.5,5.75,0.85
Nick Bryan,Essendon,24,25,25.19,203,Ruck,2021,23,2,0,,0,,8.565,60.913,9.522,4.304,0.087,9.35,63.3,9.75,4.45,0.1
Nik Cox,Essendon,13,24,24.95,200,Midfielder,2021,53,18,1,0,0,,5.162,49.717,11.962,4.415,0.34,5.22,49.75,12.05,4.4,0.4
Peter Wright,Essendon,20,30,30.31,203,Key Forward,2015,152,233,1,0,0,,9.131,72.375,11.401,5.401,1.533,8.38,77.2,11.6,5.7,1.4
Rhys Unwin,Essendon,38,20,20.22,179,Gen. Forward,2025,3,1,0,,0,,1.933,22,6.667,3,0.333,1.933,22,6.667,3,0.333
Saad El-Hawli,Essendon,41,25,25.63,184,Midfielder,2025,9,1,0,,0,,4.533,43.444,11.111,2.889,0.111,4.533,43.444,11.111,2.889,0.111
Sam Durham,Essendon,22,25,25.47,185,Midfielder,2021,91,29,1,0,0,,9.77,76.275,18.352,7.901,0.319,13.46,90.35,21.85,11.8,0.4
Sullivan Robey,Essendon,9,19,19.24,192,Midfielder,,0,,,,0,,,,,,,,,,,
Thomas Edwards,Essendon,45,26,26.61,191,Key Forward,2025,2,3,0,,0,,1.75,29,7,2.5,1.5,1.75,29,7,2.5,1.5
Vigo Visentini,Essendon,17,21,21.32,203,Ruck,2025,2,0,0,,0,,5.75,56,12.5,6,0,5.75,56,12.5,6,0
Will Setterfield,Essendon,12,28,28.9,192,Midfielder,2017,84,15,0,,0,,7.177,75.274,17.595,6.524,0.179,8.805,90.9,21.3,7.4,0.05
Xavier Duursma,Essendon,28,26,26.48,186,Midfielder,2019,110,52,6,1,0,,7.172,72.173,17.218,5.527,0.473,7.595,79.95,19.8,5.9,0.4
Zach Merrett,Essendon,7,31,31.24,179,Midfielder,2014,251,87,4,0,0,,13.659,105.291,27.299,9.147,0.347,13.55,106.8,27.45,9.45,0.15
Zach Reid,Essendon,31,24,24.83,202,Key Defender,2021,19,0,0,,0,,6.305,62.632,11.895,3.737,0,6.305,62.632,11.895,3.737,0
Zak Johnson,Essendon,40,20,20.01,186,Gen. Defender,2025,9,0,0,,0,,5.833,50.556,13.111,3.222,0,5.833,50.556,13.111,3.222,0
Adam Sweid,Fremantle,15,19,19.29,175,Midfielder,,0,,,,0,,,,,,,,,,,
Aiden Riddle,Fremantle,42,21,21.01,199,Key Forward,,0,,,,0,,,,,,,,,,,
Alex Pearce,Fremantle,25,31,31.56,201,Key Defender,2015,138,9,3,0,0,,8.061,58.674,10.652,5.043,0.065,9.83,67.1,10.6,5.75,0.2
Andrew Brayshaw,Fremantle,8,27,27.14,185,Midfielder,2018,170,57,3,1,0,,11.435,99.3,24.953,9.1,0.335,15.35,113.8,27.2,11.1,0.25
Bailey Banfield,Fremantle,41,28,28.84,190,Gen. Defender,2018,118,66,3,0,0,,6.842,54.288,11.712,4.61,0.559,6.99,60,13.35,4.7,0.15
Brandon Walker,Fremantle,31,24,24.2,186,Gen. Defender,2021,66,2,2,0,0,,5.138,51.879,12.561,3.803,0.03,6.67,59.2,13.65,4.55,0.05
Brennan Cox,Fremantle,36,28,28.38,195,Key Defender,2017,135,32,3,0,0,,8.872,70.481,12.844,4.844,0.237,7.555,59.45,10.5,4.05,0
Caleb Serong,Fremantle,3,25,25.89,180,Midfielder,2020,127,37,3,1,0,,13.764,99.953,26.205,12.134,0.291,16.1,106.6,26.9,14,0.3
Charlie Nicholls,Fremantle,22,20,20.56,196,Key Forward,,0,,,,0,,,,,,,,,,,
Christopher Scerri,Fremantle,45,20,20.48,177,Mid-Forward,,0,,,,0,,,,,,,,,,,
Cooper Simpson,Fremantle,29,21,21.87,182,Gen. Defender,2024,5,1,0,,0,,3.76,39.6,8.6,1.2,0.2,3.76,39.6,8.6,1.2,0.2
Corey Wagner,Fremantle,34,29,29.77,181,Midfielder,2016,57,9,0,,0,,6.867,61.93,13.632,4.158,0.158,8.61,71.9,15.15,4.75,0.15
Hayden Young,Fremantle,26,25,25.72,189,Midfielder,2020,89,22,3,0,0,,11.526,90.393,21.011,6.831,0.247,15.29,92.05,19.85,9.5,0.75
Heath Chapman,Fremantle,5,24,24.91,193,Gen. Defender,2021,65,2,3,0,0,,7.015,67.292,15.369,4.277,0.031,6.55,63.85,13.25,3.65,0
Hugh Davies,Fremantle,12,22,22.25,196,Key Defender,2024,2,0,0,,0,,2.8,27,4,1.5,0,2.8,27,4,1.5,0
Isaiah Dudley,Fremantle,43,23,23.67,168,Gen. Forward,2025,16,15,1,2,0,,5.031,45.188,7.062,2.25,0.938,5.031,45.188,7.062,2.25,0.938
Jaeger O'Meara,Fremantle,2,32,32.85,184,Midfielder,2013,200,87,2,0,0,,10.804,85.225,21.315,9.505,0.435,8.89,67.2,17.4,6.9,0.2
Jaren Carr,Fremantle,38,22,22.92,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Jeremy Sharp,Fremantle,14,25,25.38,189,Midfielder,2020,60,20,0,,0,,5.907,56.933,15.067,3.183,0.333,5.715,56.65,14.9,3.2,0.2
Jordan Clark,Fremantle,6,26,26.2,185,Gen. Defender,2019,126,24,3,0,0,,9.001,84.389,19.802,5.19,0.19,11.095,103,24.4,7,0.05
Josh Treacy,Fremantle,35,24,24.4,195,Key Forward,2021,80,118,1,2,0,,8.231,67.162,10.213,4.787,1.475,10.94,75.7,11.3,5.55,1.65
Joshua Draper,Fremantle,37,22,22.89,197,Key Defender,2024,31,0,0,,0,,5.739,48.903,9.194,3.645,0,6.285,52.85,9.6,4.1,0
Judd McVee,Fremantle,17,23,23.4,185,Gen. Defender,2023,65,1,2,0,0,,8.334,62.108,14.554,4.8,0.015,6.39,55.85,14.2,4.45,0.05
Jye Amiss,Fremantle,24,23,23.41,196,Key Forward,2022,71,113,3,3,0,,5.894,52.085,7.69,3.521,1.592,4.865,47.5,6.95,3.05,1.3
Karl Worner,Fremantle,23,24,24.54,188,Gen. Defender,2023,31,0,1,0,0,,5.097,52.806,12.839,2.935,0,5.62,60.9,14.2,3.15,0
Leon Kickett,Fremantle,19,20,20.14,172,Mid-Forward,,0,,,,0,,,,,,,,,,,
Luke Jackson,Fremantle,9,25,25.25,199,Ruck,2020,119,93,6,2,0,,11.946,90.017,14.765,8.076,0.782,16.03,114.65,17.85,9.8,1
Luke Ryan,Fremantle,13,30,30.89,186,Gen. Defender,2017,179,3,3,0,0,,9.826,100.061,21.017,4.743,0.017,8.55,94.1,20.75,4.2,0
Mason Cox,Fremantle,18,35,35.8,211,Key Forward,2016,139,127,14,12,0,,7.411,57.978,8.259,5.295,0.914,5.3,48.35,6.7,4.55,0.4
Matthew Johnson,Fremantle,44,23,23.79,193,Midfielder,2023,55,9,0,,0,,7.142,63.382,16.291,5.182,0.164,8.23,68.35,17.8,6.35,0.1
Michael Frederick,Fremantle,32,26,26.62,183,Gen. Forward,2020,102,116,3,2,0,,6.979,54.127,10.569,3.363,1.137,6.77,58.25,11,3.55,1.2
Murphy Reid,Fremantle,16,20,20.42,182,Gen. Forward,2025,24,25,1,1,0,,9.308,68.75,14.458,5.708,1.042,8.79,67.3,14.25,5.6,1
Nathan O'Driscoll,Fremantle,30,24,24.62,188,Midfielder,2022,38,15,3,1,0,,6.408,58.263,14.737,4.605,0.395,6.095,58.9,14.9,4.95,0.2
Neil Erasmus,Fremantle,28,23,23.07,190,Midfielder,2022,39,4,1,1,0,,5.408,49.538,13.154,4.974,0.103,6.65,56.5,14.2,5.7,0.1
Ollie Murphy,Fremantle,33,21,21.29,200,Key Defender,,0,,,,0,,,,,,,,,,,
Oscar McDonald,Fremantle,21,30,30.78,196,Key Defender,2015,94,7,3,0,0,,7.484,58.096,12.309,4.17,0.074,5.35,48.35,8.9,2.95,0.3
Patrick Voss,Fremantle,20,23,23.5,195,Key Forward,2024,27,44,1,3,0,,6.374,56.111,9.259,4.593,1.63,7.635,59.6,9.7,4.85,1.85
Ryda Luke,Fremantle,40,19,19.28,187,Gen. Forward,,0,,,,0,,,,,,,,,,,
Sam Sturt,Fremantle,1,26,26.63,190,Gen. Forward,2020,31,43,0,,0,,7.026,49.161,8.806,3.258,1.387,8.245,53.55,10.05,3.65,1.65
Sam Switkowski,Fremantle,39,30,30.11,179,Gen. Forward,2018,105,66,2,0,0,,10.569,69.971,13.324,5.876,0.629,10.975,70.65,13.7,5.2,0.65
Sean Darcy,Fremantle,4,28,28.55,203,Ruck,2017,127,49,3,0,0,,11.56,93.118,12.504,8.276,0.386,9.845,81.75,10.35,7.45,0.25
Shai Bolton,Fremantle,10,28,28.06,176,Mid-Forward,2017,158,193,9,8,0,,11.511,80.525,17.215,7.747,1.222,10.395,80.85,18.1,8.3,1.3
Toby Whan,Fremantle,27,19,19.64,184,Midfielder,,0,,,,0,,,,,,,,,,,
Tobyn Murray,Fremantle,11,21,21.65,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Bailey Smith,Geelong,3,26,26.06,185,Midfielder,2019,127,52,10,10,1,0,11.115,91.898,24.299,8.181,0.409,14.78,114.1,31.15,10.3,0.3
Brad Close,Geelong,45,28,28.42,183,Gen. Forward,2020,128,108,11,9,1,0,8.54,66,13.164,4.734,0.844,8.055,60.05,12.6,4,0.65
Cillian Burke,Geelong,41,23,23.75,192,Gen. Forward,,0,,,,0,,,,,,,,,,,
Connor O'Sullivan,Geelong,14,21,21.61,198,Key Defender,2024,27,0,3,0,1,0,8.633,64.074,12.704,4.889,0,8.78,63.6,12.45,4.7,0
George Stevens,Geelong,15,21,21.71,189,Midfielder,2025,2,1,0,,0,,8.6,62,14,7.5,0.5,8.6,62,14,7.5,0.5
Gryan Miers,Geelong,32,27,27.75,179,Gen. Forward,2019,156,114,18,15,1,0,9.589,75.897,17.526,5.179,0.731,13.665,98.5,22.95,5.5,0.65
Harley Barker,Geelong,26,19,19.66,185,Midfielder,,0,,,,0,,,,,,,,,,,
Hunter Holmes,Geelong,22,19,19.86,187,Midfielder,,0,,,,0,,,,,,,,,,,
Jack Bowes,Geelong,12,28,28.92,189,Midfielder,2017,143,46,5,4,0,,8.724,71.916,16.832,6.252,0.322,9.78,67.4,14.45,5.55,0.75
Jack Henry,Geelong,38,28,28.33,192,Key Defender,2018,165,24,19,1,1,0,8.122,65.6,11.376,4.479,0.145,7.87,64.85,11.7,4.3,0
Jack Martin,Geelong,19,31,31.92,186,Gen. Forward,2014,165,145,5,6,1,0,7.988,70.752,14.461,5.885,0.879,6.475,55.5,11.6,3.85,1
Jacob Molier,Geelong,20,20,20.22,201,Key Forward,,0,,,,0,,,,,,,,,,,
Jake Kolodjashnij,Geelong,8,31,31.39,193,Key Defender,2015,198,4,21,0,0,,6.188,59.217,12.278,4.045,0.02,7.455,67.35,13.35,4.4,0.05
James Worpel,Geelong,29,27,27.93,186,Midfielder,2018,149,49,7,1,1,0,10.802,81.671,21.752,10.013,0.329,9.66,75.45,20.2,9.9,0.15
Jay Polkinghorne,Geelong,2,20,20.58,190,Key Forward,,0,,,,0,,,,,,,,,,,
Jed Bews,Geelong,24,33,33.04,186,Gen. Defender,2014,175,16,20,1,0,,6.427,51.103,11.331,4.029,0.091,7.055,51.25,11.35,4.55,0
Jeremy Cameron,Geelong,5,33,33.75,196,Key Forward,2012,280,736,20,38,0,,11.033,79.55,13.375,4.829,2.629,13.245,92.1,13.1,4.1,3.75
Jesse Mellor,Geelong,25,19,19.75,185,Gen. Forward,,0,,,,0,,,,,,,,,,,
Jhye Clark,Geelong,13,22,22.44,181,Midfielder,2023,27,4,3,0,1,1,5.544,39.63,10.778,4.222,0.148,6.06,43.75,11.25,4.35,0.2
Joe Pike,Geelong,37,21,21.62,203,Ruck,,0,,,,0,,,,,,,,,,,
Keighton Matofai-Forbes,Geelong,31,20,20.9,189,Gen. Defender,,0,,,,0,,,,,,,,,,,
Lawson Humphries,Geelong,17,23,23.68,182,Gen. Defender,2024,37,5,5,0,1,0,9.278,76.189,16.405,3.595,0.135,7.78,69.25,14.95,2.7,0.2
Lennox Hofmann,Geelong,23,20,20.39,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Mark Blicavs,Geelong,46,35,35.76,198,Ruck,2013,296,80,29,9,1,0,10.41,83.446,14.699,7.182,0.27,9.96,78.9,14.65,7.95,0.35
Mark O'Connor,Geelong,42,29,29.95,189,Midfielder,2017,148,10,15,0,1,0,6.95,63.304,13.162,4.554,0.068,6.51,65.8,14.15,4.75,0.05
Max Holmes,Geelong,9,24,24.33,190,Midfielder,2021,103,48,9,5,1,0,12.372,87.194,20.689,7.728,0.466,15.975,115.7,28.35,10.7,0.45
Mitch Knevitt,Geelong,10,23,23.97,193,Key Forward,2022,22,6,0,,1,1,5.614,46.909,10.727,4.636,0.273,5.875,47.95,10.7,4.85,0.3
Mitchell Edwards,Geelong,11,21,21.58,206,Ruck,,0,,,,0,,,,,,,,,,,
Nicholas Driscoll,Geelong,27,19,19.73,181,Midfielder,,0,,,,0,,,,,,,,,,,
Oisin Mullin,Geelong,34,26,26.88,182,Gen. Defender,2023,44,2,5,2,1,0,5.13,41.136,9.432,3.773,0.045,5.765,44.1,9.5,3.8,0.1
Oliver Dempsey,Geelong,28,23,23.98,187,Mid-Forward,2022,59,63,5,8,1,4,9.992,73.085,16.169,6.305,1.068,12.06,83.7,17.3,6.55,1.4
Oliver Henry,Geelong,36,24,24.42,189,Key Forward,2021,86,122,2,5,1,2,5.828,50.233,8.919,3.872,1.419,6.485,50.45,8.75,4.05,1.3
Oliver Wiltshire,Geelong,21,24,24.29,180,Gen. Forward,2025,2,1,0,,0,,4.1,34.5,6.5,1.5,0.5,4.1,34.5,6.5,1.5,0.5
Patrick Dangerfield,Geelong,35,36,36.73,189,Gen. Forward,2008,360,365,31,28,0,,16.122,102.436,22.942,12.775,1.014,11.145,82.9,15.2,8.65,1.3
Rhys Stanley,Geelong,1,36,36.08,200,Ruck,2010,229,115,19,6,0,,9.578,73.598,11.799,5.808,0.502,8,65.35,9.8,5.9,0.3
Sam De Koning,Geelong,16,25,25.84,204,Key Defender,2021,86,7,6,2,1,0,8.323,64.477,13.047,5.535,0.081,8.315,62.65,12.35,5,0.05
Shannon Neale,Geelong,33,24,24.43,203,Key Forward,2022,46,69,5,5,1,1,7.641,58.326,8.348,4.5,1.5,8.55,65.6,8.75,4.6,2
Shaun Mannagh,Geelong,7,29,29.4,178,Gen. Forward,2024,36,47,5,7,1,1,12.253,80.917,17.389,6.472,1.306,11.68,82.45,17.85,6.05,1.4
Tanner Bruhn,Geelong,4,24,24.59,184,Midfielder,2021,67,24,4,1,1,0,7.655,61.373,14.045,6.149,0.358,9.455,72.4,18.25,7.65,0.25
Toby Conway,Geelong,6,23,23.68,206,Ruck,2023,6,1,0,,0,,9.733,74,12.333,9,0.167,9.733,74,12.333,9,0.167
Tom Atkins,Geelong,30,31,31.28,180,Midfielder,2019,154,22,15,2,1,0,10.319,79.24,16.812,8.584,0.143,13.645,100.25,20.55,11.8,0.2
Tom Stewart,Geelong,44,33,33.79,190,Gen. Defender,2017,192,6,17,1,1,0,9.604,96.099,20.922,5.562,0.031,8.945,90.95,18.6,4.9,0.05
Tyson Stengle,Geelong,18,28,28.2,175,Gen. Forward,2017,109,175,8,14,0,,9.641,67.055,12.477,5.147,1.606,8.08,67.75,13,5.15,1.35
Zach Guthrie,Geelong,39,28,28.5,188,Gen. Defender,2017,129,15,12,1,1,0,7.7,70.202,15.527,4.496,0.116,8.795,79.25,16.5,4.6,0
Alex Davies,Gold Coast,5,24,24.78,193,Midfielder,2021,41,12,2,1,1,0,8.351,60.098,13.561,7.756,0.293,9.855,71.2,16.2,8.9,0.2
Asher Eastham,Gold Coast,42,20,20.63,188,Gen. Defender,,0,,,,0,,,,,,,,,,,
Avery Thomas,Gold Coast,41,19,19.27,186,Gen. Defender,,0,,,,0,,,,,,,,,,,
Bailey Humphrey,Gold Coast,19,22,22.3,186,Key Forward,2023,64,54,2,3,1,4,9.091,64.578,12.859,6.812,0.844,11.56,80,14.95,8.15,1.35
Beau Addinsall,Gold Coast,38,19,19.81,182,Midfielder,,0,,,,0,,,,,,,,,,,
Ben Jepson,Gold Coast,44,25,25.22,184,Midfielder,2025,1,0,0,,0,,5.1,36,12,2,0,5.1,36,12,2,0
Ben King,Gold Coast,34,26,26.48,202,Key Forward,2019,121,259,2,2,1,4,6.664,56.149,7.62,4.215,2.14,8.615,61.05,6.75,4.4,2.6
Ben Long,Gold Coast,22,29,29.36,186,Gen. Forward,2017,136,104,3,2,1,2,6.874,56.971,10.86,4.824,0.765,6.99,59.45,10.5,4.15,1.7
Bodhi Uwland,Gold Coast,6,23,23.43,188,Gen. Defender,2023,50,1,2,0,1,0,8.422,72,15.14,3.98,0.02,9.2,79.6,16.55,4.8,0.05
Caleb Graham,Gold Coast,46,26,26.3,194,Key Defender,2019,37,1,0,,0,,6.814,52.351,8.189,2.919,0.027,7.73,55.45,8.35,2.95,0.05
Caleb Lewis,Gold Coast,45,23,23.25,198,Key Forward,,0,,,,0,,,,,,,,,,,
Charlie Ballard,Gold Coast,10,27,27.44,196,Key Defender,2018,134,3,0,,0,,7.923,63.172,12.209,4.485,0.022,8.565,60.3,11.45,4.15,0.05
Christian Petracca,Gold Coast,3,30,30.98,187,Mid-Forward,2016,213,205,10,7,1,3,14.407,98.056,23.61,11.592,0.962,14.52,102.1,26.3,12.1,0.75
Cooper Bell,Gold Coast,31,20,20.08,199,Key Defender,,0,,,,0,,,,,,,,,,,
Daniel Rioli,Gold Coast,17,29,29.7,179,Gen. Defender,2016,204,117,15,14,1,0,9.084,72.873,15.725,4.858,0.574,9.675,81.85,18.75,4.95,0.3
Dylan Patterson,Gold Coast,30,19,19.33,183,Gen. Defender,,0,,,,0,,,,,,,,,,,
Elliott Himmelberg,Gold Coast,12,28,28.57,196,Key Forward,2018,50,49,0,,0,,6.956,57.94,9.6,5.5,0.98,7.19,56.95,9.5,5.25,0.95
Ethan Read,Gold Coast,20,21,21.48,202,Key Forward,2024,26,22,2,0,1,0,3.242,43.962,7.346,3.5,0.846,2.675,41.95,7.8,3.7,0.8
Jai Murray,Gold Coast,35,19,19.81,187,Midfielder,,0,,,,0,,,,,,,,,,,
Jake Rogers,Gold Coast,29,21,21.83,172,Gen. Forward,2024,18,6,0,,0,,5.522,36.111,8.222,3.556,0.333,5.522,36.111,8.222,3.556,0.333
Jamarra Ugle-Hagan,Gold Coast,9,24,24.74,197,Key Forward,2021,67,103,2,0,0,,5.93,56.403,10.164,4.701,1.537,6.44,63.7,11.2,5.45,2
Jarrod Witts,Gold Coast,28,34,34.29,209,Ruck,2013,206,45,2,0,1,0,11.892,94.238,12.544,7.879,0.218,12.82,101.15,12.5,9.15,0.15
Jed Walter,Gold Coast,4,21,21.56,195,Key Forward,2024,30,29,0,,0,,3.423,40.633,6.467,4.033,0.967,3.555,43.45,6.75,4.1,1
Joel Jeffrey,Gold Coast,16,24,24.8,192,Gen. Defender,2021,54,21,2,0,1,0,8.928,70.333,15.444,3.889,0.389,9.46,83.95,19.75,3.9,0.2
John Noble,Gold Coast,2,29,29.76,180,Gen. Defender,2019,138,13,9,1,1,2,7.33,78.043,19.761,4.123,0.094,9.495,96.7,25.35,4.4,0.15
Jy Farrar,Gold Coast,50,30,30.06,190,Gen. Forward,2020,43,13,2,1,1,0,6.16,54.233,11.14,3.698,0.302,5.535,50,9.25,3.85,0.55
Koby Coulson,Gold Coast,43,19,19.41,180,Midfielder,,0,,,,0,,,,,,,,,,,
Lachie Weller,Gold Coast,14,30,30.85,182,Midfielder,2015,162,50,2,0,1,0,8.622,72.586,18.414,5.346,0.309,7.99,61.05,15.65,5.2,0.15
Lachlan Gulbin,Gold Coast,39,20,20.1,187,Gen. Forward,2025,1,0,0,,0,,1.3,49,9,3,0,1.3,49,9,3,0
Leonardo Lombard,Gold Coast,8,20,20.23,178,Gen. Forward,2025,5,3,0,,1,2,2.92,29.2,6.8,1.8,0.6,2.92,29.2,6.8,1.8,0.6
Mac Andrew,Gold Coast,1,23,23.07,202,Key Defender,2022,66,12,2,1,1,0,8.053,65.788,13.242,4.182,0.182,8.77,72.25,14.95,4.05,0.15
Matt Rowell,Gold Coast,18,25,25.5,180,Midfielder,2020,110,35,2,1,0,,14.482,98.609,21.327,12.955,0.318,16.47,117.45,25.95,13.7,0.45
Max Knobel,Gold Coast,37,22,22.51,206,Ruck,,0,,,,0,,,,,,,,,,,
Ned Moyle,Gold Coast,23,24,24.87,206,Ruck,2023,13,2,0,,0,,11.208,73.308,10.231,7.692,0.154,11.208,73.308,10.231,7.692,0.154
Nick Holman,Gold Coast,7,31,31.59,188,Mid-Forward,2014,147,78,0,,0,,7.863,59.075,11.558,5.701,0.531,6.445,44.3,9.65,4.45,0.4
Noah Anderson,Gold Coast,15,25,25.86,192,Midfielder,2020,130,55,2,1,1,1,13.745,99.123,25.723,10.562,0.423,17.31,114.1,30.05,12.85,0.6
Oscar Adams,Gold Coast,48,23,23.44,198,Key Defender,2025,9,0,0,,1,0,3.9,36.222,7.333,3.111,0,3.9,36.222,7.333,3.111,0
Sam Clohesy,Gold Coast,33,24,24.05,189,Midfielder,2024,35,10,0,,1,0,8.463,67.543,15.886,4.829,0.286,7.735,64.6,15.95,4.85,0.2
Sam Collins,Gold Coast,25,32,32.54,194,Key Defender,2016,150,0,2,0,1,0,10.821,72.887,11.78,5.573,0,11.21,72.55,11.85,5.75,0
Touk Miller,Gold Coast,11,30,30.85,178,Gen. Forward,2015,215,72,2,0,1,1,12.518,96.772,23.693,10.712,0.335,15.47,106.6,24.95,10.35,0.5
Wil Powell,Gold Coast,27,27,27.34,188,Midfielder,2018,131,16,2,0,1,0,8.721,76.779,16.061,4.817,0.122,9.565,80.05,16.8,5.1,0.05
Will Graham,Gold Coast,26,21,21.43,186,Gen. Forward,2024,26,18,0,,1,0,8.738,63,11.923,5.192,0.692,8.745,61.4,11.65,5.35,0.85
Zak Evans,Gold Coast,36,26,26.76,192,Gen. Defender,,0,,,,0,,,,,,,,,,,
Zeke Uwland,Gold Coast,32,19,19.68,180,Midfielder,2026,1,0,0,,1,0,1.2,37,16,4,0,1.2,37,16,4,0
Aaron Cadman,Greater Western Sydney,5,22,22.83,195,Key Forward,2023,59,80,3,4,0,,6.169,50.492,7.797,3.644,1.356,8.51,69,10.25,4.6,2
Brent Daniels,Greater Western Sydney,16,27,27.81,172,Gen. Forward,2018,112,72,9,4,0,,9.632,69.58,14.768,5.902,0.643,13.13,84.7,17.35,7.15,0.7
Callum Brown,Greater Western Sydney,46,26,26.37,188,Gen. Forward,2021,65,68,4,3,1,1,7.992,55.985,9.646,3.908,1.046,9.555,65.55,11.6,4.7,1.2
Clayton Oliver,Greater Western Sydney,10,29,29.44,189,Midfielder,2016,206,59,10,5,1,1,14.463,109.466,28.16,14.748,0.286,11.605,92.6,24.8,11.9,0.2
Cody Angove,Greater Western Sydney,29,20,20.59,182,Gen. Forward,2025,4,1,0,,0,,5.725,37,11,3.75,0.25,5.725,37,11,3.75,0.25
